# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
4.273200000000000219e-04 2.314117872213402336e+02 2.412580062011734867e+02 2.564119525998229960e+02 2.720274405131521576e+02 2.826941777413048271e+02
4.407300000000000171e-04 2.383402838447336478e+02 2.484812998000110156e+02 2.640889571686799400e+02 2.801719746602525447e+02 2.911580752784696529e+02
4.545500000000000170e-04 2.454856725363376597e+02 2.559307138941164794e+02 2.720062853588228791e+02 2.885714681371752022e+02 2.998869296081022640e+02
4.688100000000000058e-04 2.528238541774621240e+02 2.635811239840156759e+02 2.801372345456644553e+02 2.971975921294954333e+02 3.088513010865950719e+02
4.835199999999999785e-04 2.603909774461423012e+02 2.714702168189199938e+02 2.885218586660856204e+02 3.060928398588502546e+02 3.180953491793594026e+02
4.986899999999999840e-04 2.681749927830329057e+02 2.795854301490922467e+02 2.971468064077927238e+02 3.152430469180273462e+02 3.276043540645915755e+02
5.143300000000000172e-04 2.761879497474791947e+02 2.879393262242695073e+02 3.060254290830795298e+02 3.246623777142390850e+02 3.373930355640952143e+02
5.304599999999999593e-04 2.844298483394812251e+02 2.965319050444519462e+02 3.151577266919458680e+02 3.343508322474853571e+02 3.474613936778703760e+02
5.471000000000000169e-04 2.929127381183836860e+02 3.053757288593764656e+02 3.245570505466856162e+02 3.443225749249787100e+02 3.578241482277209116e+02
5.642600000000000220e-04 3.016366190841869752e+02 3.144707976690432361e+02 3.342234006472986039e+02 3.545776057467190299e+02 3.684812992136466505e+02
5.819700000000000133e-04 3.106255903555809255e+02 3.238422359729263462e+02 3.441834796183721323e+02 3.651442535271310135e+02 3.794622862792552382e+02
6.002200000000000504e-04 3.198676023732203930e+02 3.334774815212887802e+02 3.544239361476126078e+02 3.760083538590022840e+02 3.907523896027430510e+02
6.190500000000000039e-04 3.293747046964507490e+02 3.433890965638674970e+02 3.649581215473137945e+02 3.871840711495452183e+02 4.023663290059135420e+02
6.384700000000000314e-04 3.391589468846166255e+02 3.535896433503997969e+02 3.757993871297691726e+02 3.986855698059721362e+02 4.143188243105705624e+02
6.585000000000000141e-04 3.492203289377184774e+02 3.640791218808856229e+02 3.869477328949789694e+02 4.105128498282831515e+02 4.266098755167142258e+02
6.791500000000000011e-04 3.595709004151009367e+02 3.748700944050621047e+02 3.984165101552365513e+02 4.226800756236903567e+02 4.392542024461482697e+02
7.004599999999999715e-04 3.702106613167642877e+02 3.859625609229290717e+02 4.102057189105420889e+02 4.351872471921941496e+02 4.522518050988727509e+02
7.224300000000000339e-04 3.811637107613983630e+02 3.973816459339610105e+02 4.223420617854829970e+02 4.480626933482187724e+02 4.656321231184950875e+02
