# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
  367       4.621720580823e+00      -8.454517990468e-08       2.699941474198e+00 
  368       4.629117446284e+00      -6.372845818832e-08       2.705168274028e+00 
  369       4.636500586333e+00      -4.095753105922e-08       2.710386041959e+00 
  370       4.643870080393e+00      -1.746810214432e-08       2.715594844500e+00 
  371       4.651225997278e+00       5.476932056567e-09       2.720794744392e+00 
  372       4.658568395057e+00       2.658729790918e-08       2.725985800556e+00 
  373       4.665897320918e+00       4.454516038330e-08       2.731168068032e+00 
  374       4.673212811026e+00       5.800493879111e-08       2.736341597926e+00 
  375       4.680514890392e+00       6.559312252572e-08       2.741506437347e+00 
  376       4.687803588219e+00       6.634336216519e-08       2.746662646468e+00 
