# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   60       1.138473811654e+00       1.671463063530e-09      -1.664799830200e-09      -1.417689887911e-10      -8.737806243963e-09       2.643115891791e-01      -2.853978523153e-09       5.350862995447e-10      -1.599727699525e-08       1.060456600499e-01      -1.860635813783e-09       6.911190728169e-10       5.471358359589e-02      -1.048375948879e-08       3.255845129812e-02 
   61       1.155650411211e+00      -7.301413392076e-10      -8.507103759366e-09      -3.135081889957e-11      -2.915267989311e-09       2.701936830506e-01       1.260999158731e-09      -5.567549163150e-10      -9.924964525267e-09       1.089365441904e-01      -8.254102729016e-10      -3.011824924460e-09       5.622848648548e-02      -1.184980529118e-08       3.348925544949e-02 
   62       1.173047394536e+00       2.739668166049e-09       2.816809497842e-09      -2.874325076982e-10      -1.615911091912e-08       2.760274799296e-01      -3.072470743630e-09      -2.842236485880e-10       4.728425996220e-09       1.118553497383e-01      -1.563526000906e-09      -7.668027042782e-09       5.775715890745e-02      -1.184613566578e-08       3.442795672147e-02 
   63       1.190824922465e+00       8.918684904751e-10      -1.017976843114e-08      -7.678188964375e-11      -9.050154299630e-10       2.818152484778e-01       1.913671006253e-09       5.200393769278e-10      -1.351348791184e-08       1.148013257705e-01      -5.739296203567e-10       1.000711989018e-09       5.929965448573e-02      -3.960182887197e-09       3.537452573792e-02 
   64       1.209082414457e+00       2.222178675527e-09      -2.141256057836e-09      -9.244782804876e-10      -5.940352042765e-09       2.875604959214e-01      -2.471074657925e-09      -2.993416843584e-10       8.225978289460e-11       1.177736609953e-01       8.116244731293e-11      -6.542942233328e-09       6.085602972738e-02      -1.133521599844e-08       3.632886014999e-02 
   65       1.227851453908e+00      -1.173554076689e-09      -1.659219557792e-11       5.264261638405e-11       3.783179303388e-09       2.932679054026e-01      -6.658077714043e-11      -1.510541447477e-10       1.476391870603e-08       1.207714068251e-01      -1.271668023269e-09      -7.387094550868e-09       6.242634136843e-02      -4.304090722363e-09       3.729094029762e-02 
   66       1.247095646252e+00       1.176362090039e-09      -8.489277067760e-09      -7.690354798798e-10       1.284936671090e-08       2.989431964018e-01      -2.158820540753e-10       8.199103050411e-10       1.069334271782e-09       1.237935234386e-01       1.106920520309e-09       2.449261549926e-09       6.401064909613e-02      -3.146973466549e-09       3.826073008125e-02 
   67       1.266717971305e+00      -1.810310388643e-09       6.700205787738e-09      -1.262893280380e-10       3.643396006059e-09       3.045930208203e-01      -3.171979967383e-09       2.678731222759e-10       5.119732111912e-09       1.268388754240e-01      -2.367683200214e-09      -1.118033551375e-08       6.560900515062e-02      -9.101401146399e-09       3.923816983637e-02 
   68       1.286574026579e+00       7.131184298003e-10      -5.513813003274e-10      -3.932867139311e-11       1.712360225386e-08       3.102248156811e-01       2.794043925464e-09       5.257398318682e-10       2.444579000013e-08       1.299062001663e-01       7.021913487754e-10      -2.468294738833e-09       6.722145420248e-02       1.037556744010e-09       4.022328799802e-02 
   69       1.306489987008e+00      -2.419158817858e-09       1.474888860318e-10       2.029216645874e-10      -3.873460001676e-09       3.158466208545e-01      -3.551160347634e-09       1.136068247033e-09       2.620598370028e-09       1.329941830904e-01      -1.838556838039e-09       8.157269678270e-10       6.884803692235e-02      -5.164642916756e-09       4.121603275023e-02 
   70       1.326282836076e+00      -3.381842504104e-10       1.429091621663e-08      -5.955360634744e-10      -1.576374706662e-09       3.214669182676e-01       1.993561621940e-09       6.023081249238e-10      -5.323279124860e-09       1.361013622060e-01      -6.541191695796e-10      -1.207081808411e-08       7.048878068391e-02      -4.234707984137e-09       4.221641306842e-02 
