#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.175458e-06 1.075461e+02 1.075465e+02 1.163000e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.683138e-09 6.772967e-08 2.249221e-07 -8.879355e-13 4.729689e+03 4.236026e+06 8.965677e+05 -2.428247e-03 -5.233857e-02 -2.359114e-01 -1.164719e-01 3.101568e-02 8.551152e-01 4.161566e-03 2.999280e-07 9.875008e-07 -1.719215e-07
1.178982e-06 1.075461e+02 1.075465e+02 1.168158e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.713436e-09 6.800684e-08 2.254924e-07 -8.934889e-13 4.723397e+03 4.224765e+06 8.941916e+05 -2.431914e-03 -5.242237e-02 -2.362875e-01 -1.166659e-01 3.106742e-02 8.553770e-01 4.161596e-03 3.012011e-07 9.907454e-07 -1.724981e-07
1.182517e-06 1.075461e+02 1.075465e+02 1.173338e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.743872e-09 6.828513e-08 2.260641e-07 -8.990770e-13 4.717113e+03 4.213534e+06 8.918219e+05 -2.435587e-03 -5.250630e-02 -2.366641e-01 -1.168602e-01 3.111924e-02 8.556389e-01 4.161626e-03 3.024797e-07 9.940006e-07 -1.730767e-07
1.186062e-06 1.075461e+02 1.075465e+02 1.178542e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.774445e-09 6.856457e-08 2.266373e-07 -9.047000e-13 4.710838e+03 4.202333e+06 8.894584e+05 -2.439266e-03 -5.259037e-02 -2.370414e-01 -1.170549e-01 3.117114e-02 8.559008e-01 4.161656e-03 3.037636e-07 9.972665e-07 -1.736572e-07
1.189618e-06 1.075461e+02 1.075465e+02 1.183769e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.805157e-09 6.884515e-08 2.272118e-07 -9.103583e-13 4.704571e+03 4.191162e+06 8.871012e+05 -2.442950e-03 -5.267457e-02 -2.374192e-01 -1.172499e-01 3.122314e-02 8.561629e-01 4.161686e-03 3.050530e-07 1.000543e-06 -1.742396e-07
1.193185e-06 1.075461e+02 1.075465e+02 1.189019e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.836008e-09 6.912688e-08 2.277878e-07 -9.160519e-13 4.698313e+03 4.180021e+06 8.847502e+05 -2.446639e-03 -5.275891e-02 -2.377976e-01 -1.174452e-01 3.127522e-02 8.564250e-01 4.161716e-03 3.063479e-07 1.003831e-06 -1.748239e-07
1.196762e-06 1.075461e+02 1.075465e+02 1.194292e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.866999e-09 6.940976e-08 2.283651e-07 -9.217811e-13 4.692063e+03 4.168909e+06 8.824055e+05 -2.450334e-03 -5.284338e-02 -2.381767e-01 -1.176408e-01 3.132738e-02 8.566872e-01 4.161747e-03 3.076483e-07 1.007129e-06 -1.754103e-07
1.200350e-06 1.075461e+02 1.075465e+02 1.199589e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.898131e-09 6.969380e-08 2.289439e-07 -9.275462e-13 4.685821e+03 4.157827e+06 8.800670e+05 -2.454035e-03 -5.292799e-02 -2.385563e-01 -1.178367e-01 3.137964e-02 8.569495e-01 4.161777e-03 3.089542e-07 1.010438e-06 -1.759986e-07
1.203949e-06 1.075461e+02 1.075465e+02 1.204909e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.929404e-09 6.997900e-08 2.295241e-07 -9.333473e-13 4.679587e+03 4.146774e+06 8.777347e+05 -2.457741e-03 -5.301273e-02 -2.389366e-01 -1.180330e-01 3.143198e-02 8.572119e-01 4.161807e-03 3.102656e-07 1.013758e-06 -1.765889e-07
1.207559e-06 1.075461e+02 1.075465e+02 1.210253e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.960818e-09 7.026536e-08 2.301057e-07 -9.391847e-13 4.673362e+03 4.135750e+06 8.754086e+05 -2.461453e-03 -5.309761e-02 -2.393174e-01 -1.182296e-01 3.148441e-02 8.574743e-01 4.161837e-03 3.115826e-07 1.017089e-06 -1.771811e-07
